29.08.2025 02:09:33 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m4s12ms743µs200ns).
29.08.2025 02:10:57 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m23s982ms93µs700ns).
29.08.2025 02:11:48 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=51s307ms631µs499ns).
29.08.2025 02:17:48 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m18s905ms516µs600ns).
29.08.2025 02:17:53 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
29.08.2025 02:17:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
29.08.2025 02:17:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
29.08.2025 02:18:00 [main] INFO  searchengine.Application - Starting Application using Java 21.0.5 with PID 14292 (C:\Users\4762006\Skillbox\searchengine\target\classes started by 4762006 in C:\Users\4762006\Skillbox\searchengine)
29.08.2025 02:18:00 [main] INFO  searchengine.Application - No active profile set, falling back to 1 default profile: "default"
29.08.2025 02:18:01 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29.08.2025 02:18:01 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 4 JPA repository interfaces.
29.08.2025 02:18:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
29.08.2025 02:18:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
29.08.2025 02:18:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
29.08.2025 02:18:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
29.08.2025 02:18:01 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
29.08.2025 02:18:01 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1257 ms
29.08.2025 02:18:01 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
29.08.2025 02:18:01 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
29.08.2025 02:18:01 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
29.08.2025 02:18:02 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
29.08.2025 02:18:02 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
29.08.2025 02:18:02 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@45f1413c
29.08.2025 02:18:02 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
29.08.2025 02:18:03 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
29.08.2025 02:18:04 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
29.08.2025 02:18:04 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
29.08.2025 02:18:05 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
29.08.2025 02:18:05 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
29.08.2025 02:18:05 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
29.08.2025 02:18:05 [main] INFO  searchengine.Application - Started Application in 5.906 seconds (process running for 6.282)
29.08.2025 02:20:55 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
29.08.2025 02:20:55 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
29.08.2025 02:20:55 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
29.08.2025 02:20:58 [http-nio-8080-exec-3] INFO  s.a.crawler.ForkJoinSiteCrawler - Начало обработки сайта: https://playback.ru/
29.08.2025 02:20:58 [http-nio-8080-exec-3] INFO  s.a.crawler.ForkJoinSiteCrawler - Начало обработки сайта: https://nikoartgallery.com/
29.08.2025 02:20:58 [http-nio-8080-exec-3] INFO  s.a.crawler.ForkJoinSiteCrawler - Начало обработки сайта: https://www.svetlovka.ru/
29.08.2025 02:20:59 [ForkJoinPool-1-worker-1] INFO  s.i.html.JsoupPageFetcher - Страница скачана! https://playback.ru/, http код: 200
29.08.2025 02:20:59 [ForkJoinPool-3-worker-1] INFO  s.i.html.JsoupPageFetcher - Страница скачана! https://www.svetlovka.ru/, http код: 200
29.08.2025 02:20:59 [ForkJoinPool-2-worker-1] INFO  s.i.html.JsoupPageFetcher - Страница скачана! https://nikoartgallery.com/, http код: 200
29.08.2025 02:20:59 [ForkJoinPool-1-worker-1] INFO  s.a.crawler.CrawlerSiteTask - Страниц проиндексировано 1
29.08.2025 02:20:59 [ForkJoinPool-1-worker-1] WARN  s.a.crawler.CrawlerSiteTask - Invalid URL format: tel:+7(495)143-77-71
29.08.2025 02:20:59 [ForkJoinPool-2-worker-1] INFO  s.a.crawler.CrawlerSiteTask - Страниц проиндексировано 2
29.08.2025 02:20:59 [ForkJoinPool-3-worker-1] INFO  s.a.crawler.CrawlerSiteTask - Страниц проиндексировано 3
